Name,Number,Photo
陳世峰,1,./images/player_1_0.jpg
游黃翰,8,./images/player_8_1.jpg
王亭乃,9,./images/player_9_2.png
陳炳亨,17,./images/player_17_3.jpg
向志偉,18,./images/player_18_4.jpg
黃立閎,23,./images/player_23_5.jpg
黃柏璁,27,./images/player_27_6.jpg
溫東齊,29,./images/player_29_7.png
陳柏彥,37,./images/player_37_8.jpg
蔡佳良,42,./images/player_42_9.jpg
林育醇,46,./images/player_46_10.jpg
朱宏金,51,./images/player_51_11.jpg
陳子朋,52,./images/player_52_12.png
徐一正,66,./images/player_66_13.png
邱煜盛,86,./images/player_86_14.jpg
吳冠融,99,./images/player_99_15.png
